year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2014,6,1,22.4,16.6,28.0,,0.0,
2014,6,2,20.7,18.3,23.4,9.0,0.7,
2014,6,3,19.1,17.9,20.6,4.5,0.0,
2014,6,4,21.6,18.5,25.9,2.3,0.9,
2014,6,5,22.1,18.9,26.6,,5.0,
2014,6,6,21.3,17.6,26.8,1.5,8.2,
2014,6,7,20.8,15.4,25.7,,8.8,
2014,6,8,20.1,17.4,24.7,,3.1,
2014,6,9,20.7,17.5,25.3,,2.5,
2014,6,10,21.4,17.9,25.8,0.0,3.8,
2014,6,11,21.0,18.3,26.0,,10.5,
2014,6,12,20.0,17.1,24.4,2.8,8.4,
2014,6,13,20.9,17.5,25.5,,5.2,
2014,6,14,21.0,17.2,27.5,,10.6,
2014,6,15,20.9,16.7,26.5,,9.1,
2014,6,16,22.3,17.0,29.6,,6.4,
2014,6,17,21.1,19.3,25.4,0.0,0.7,
2014,6,18,22.2,18.0,27.0,,8.1,
2014,6,19,22.4,18.7,27.8,,9.0,
2014,6,20,22.9,17.7,27.6,,4.4,
2014,6,21,22.6,19.8,25.5,0.0,0.0,
2014,6,22,22.3,19.8,25.9,0.8,0.7,
2014,6,23,21.8,19.7,25.3,5.4,4.1,
2014,6,24,22.0,18.9,26.2,0.9,8.3,
2014,6,25,21.6,17.1,27.3,,5.8,
2014,6,26,22.3,17.6,28.2,,7.5,
2014,6,27,22.9,18.3,29.5,,11.0,
2014,6,28,23.3,20.0,27.7,0.0,8.7,
2014,6,29,23.3,19.6,28.3,,7.4,
2014,6,30,23.4,18.8,28.8,,9.6,
