year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2019,7,1,24.7,21.5,29.2,0.2,1.3,
2019,7,2,25.0,21.9,29.7,,10.6,
2019,7,3,23.9,21.1,28.4,,2.8,
2019,7,4,25.1,20.4,32.0,,11.6,
2019,7,5,25.4,21.0,30.7,,11.7,
2019,7,6,25.6,20.4,31.9,,13.3,
2019,7,7,23.9,20.9,28.8,,7.7,
2019,7,8,23.0,20.3,28.9,1.5,4.6,
2019,7,9,23.0,20.5,26.5,,2.1,
2019,7,10,22.4,21.1,24.5,15.0,0.0,
2019,7,11,24.5,21.4,29.3,6.0,3.6,
2019,7,12,25.1,21.6,31.0,,9.2,
2019,7,13,22.8,21.1,24.9,0.5,0.0,
2019,7,14,24.4,20.2,29.5,,4.6,
2019,7,15,24.4,21.5,29.1,,3.2,
2019,7,16,24.5,20.7,29.8,,6.3,
2019,7,17,25.2,20.6,31.2,0.5,10.2,
2019,7,18,22.8,21.3,24.8,45.5,0.0,
2019,7,19,23.6,22.8,24.4,53.5,0.0,
2019,7,20,24.0,23.6,24.9,171.5,0.0,
2019,7,21,24.5,22.8,27.1,28.0,0.2,
2019,7,22,27.3,22.5,33.7,,9.8,
2019,7,23,27.8,24.7,33.6,,8.6,
2019,7,24,27.1,24.7,32.0,,3.0,
2019,7,25,26.1,25.1,27.9,0.2,0.0,
2019,7,26,26.6,25.0,28.8,0.5,0.0,
2019,7,27,26.3,24.9,28.4,47.5,0.0,
2019,7,28,27.7,25.3,31.9,,6.2,
2019,7,29,28.0,25.0,32.5,1.0,8.3,
2019,7,30,28.8,26.0,32.5,,9.8,
2019,7,31,29.2,26.5,33.5,,12.6,
