year,month,day,tavg,tmin,tmax,rain,sunshine,snow
2018,4,1,19.4,14.4,24.5,,5.6,
2018,4,2,21.1,15.6,26.8,,10.2,
2018,4,3,21.2,12.7,27.8,,11.2,
2018,4,4,10.0,8.9,12.7,6.6,0.0,
2018,4,5,9.1,8.1,10.4,7.3,0.0,
2018,4,6,10.1,5.7,16.1,15.8,5.3,
2018,4,7,6.8,4.1,10.4,,10.4,
2018,4,8,9.2,2.8,14.8,,11.6,
2018,4,9,12.9,8.2,17.8,,10.2,
2018,4,10,17.6,9.1,24.4,,11.7,
2018,4,11,20.2,15.8,24.7,1.0,11.3,
2018,4,12,16.8,11.0,23.9,,11.2,
2018,4,13,12.3,7.8,15.7,,7.1,
2018,4,14,11.3,10.4,12.3,27.3,0.0,
2018,4,15,13.8,9.3,19.2,,10.7,
2018,4,16,12.3,8.5,14.7,,10.5,
2018,4,17,13.8,9.6,18.2,,10.7,
2018,4,18,17.7,10.8,24.7,,12.1,
2018,4,19,21.2,13.7,28.5,,12.2,
2018,4,20,21.1,16.0,26.5,,11.9,
2018,4,21,24.4,17.0,33.0,,11.4,
2018,4,22,15.5,12.3,21.9,0.2,2.7,
2018,4,23,11.0,10.2,12.5,33.9,0.0,
2018,4,24,11.2,10.6,11.8,14.4,0.0,
2018,4,25,11.9,6.6,16.3,,12.5,
2018,4,26,16.6,6.8,24.4,,11.9,
2018,4,27,15.0,11.2,21.7,,10.6,
2018,4,28,19.3,9.9,27.4,,12.3,
2018,4,29,21.4,15.7,28.4,,12.5,
2018,4,30,21.8,16.6,29.0,,11.8,
