stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
261,해남,2013-01-01,0.6,-5.3,0133,7.3,1314,,,,,,,8.5,250,1319,5.1,270,0935,1.7,1480,290,-2.5,45,1447,82.1,5.1,1019.0,1022.2,2324,1019.1,0551,1020.7,9.9,3.7,,,,,,,,,,,2.3,-7.3,,,,,,,,,,,,,,
261,해남,2013-01-02,-1.0,-5.3,2400,3.9,0256,,,,,,,8.2,320,1253,4.9,340,1241,2.7,2316,20,-6.1,54,1927,68.1,4.0,1028.1,1035.6,2349,1022.2,0001,1029.8,9.9,4.8,,,,,,,,,,,1.8,-7.2,,,,,,,,,,,,,,
261,해남,2013-01-03,-5.2,-7.0,0716,-1.9,1329,,,,,,,8.9,360,1354,4.4,50,1316,2.6,2231,20,-11.5,44,1351,61.9,2.6,1034.3,1038.3,0948,1034.7,2357,1036.0,9.9,5.4,,,,,,,,,,,-0.5,-9.2,,,,,,,,,,,,,,
261,해남,2013-01-04,-4.1,-7.0,0752,-0.1,1447,,,,,,,8.8,340,0803,5.2,360,0727,2.8,2395,360,-12.2,32,1532,54.3,2.4,1029.2,1034.8,0002,1027.9,2330,1030.9,9.9,9.3,,,,,,,,,,,-0.7,-10.3,,,,,,,,,,,,,,
261,해남,2013-01-05,-2.1,-6.8,0005,2.7,1335,,,,,,,7.5,340,1532,4.3,290,1522,1.8,1593,290,-9.2,42,1025,60.0,3.1,1024.4,1027.9,0001,1023.9,1405,1026.1,9.9,8.4,,,,,,,,,,,-0.4,-9.4,,,,,,,,,,,,,,
261,해남,2013-01-06,-1.1,-4.7,0001,3.8,1259,,,,,,,6.5,360,2130,3.1,20,2231,1.6,1399,290,-5.5,49,1345,73.4,4.1,1023.4,1026.5,0023,1023.5,1602,1025.1,10.0,7.3,,,,,,,,,,,0.5,-8.7,,,,,,,,,,,,,,
261,해남,2013-01-07,-0.8,-4.5,0536,3.1,1406,,,,,,,8.2,340,1250,4.9,20,0808,2.3,2029,360,-10.3,25,1636,50.0,2.8,1022.1,1025.8,0925,1021.9,1437,1023.8,10.0,7.6,,,,,,,,,,,0.2,-8.3,,,,,,,,,,,,,,
261,해남,2013-01-08,-0.3,-6.3,0617,5.2,1421,,,,,,,8.6,360,1542,4.8,360,1224,2.3,2001,20,-8.3,35,1600,56.5,3.3,1022.6,1026.0,1047,1022.6,1524,1024.3,10.0,9.0,,,,,,,,,,,0.2,-9.5,,,,,,,,,,,,,,
261,해남,2013-01-09,-2.3,-6.0,2343,1.6,1319,,,,,,,11.1,360,1618,5.1,340,0045,2.6,2266,20,-8.4,41,0055,63.3,3.3,1025.1,1028.5,2345,1024.7,1353,1026.8,10.0,3.4,,,,,,,,,,,0.0,-8.9,,,,,,,,,,,,,,
261,해남,2013-01-10,-3.6,-7.9,0659,1.3,1413,,,,,,,7.4,20,1346,4.9,20,1353,2.4,2062,20,-12.7,24,1701,52.0,2.4,1028.2,1031.3,2057,1027.8,0336,1029.9,10.0,9.5,,,,,,,,,,,-0.2,-12.3,,,,,,,,,,,,,,
261,해남,2013-01-11,-3.6,-12.1,0725,5.5,1407,,,,,,,4.3,320,1625,2.9,290,1456,1.0,863,290,-11.0,21,1549,62.0,2.7,1027.5,1032.1,0942,1026.2,2218,1029.1,10.0,8.5,,,,,,,,,,,-0.7,-15.3,,,,,,,,,,,,,,
261,해남,2013-01-12,0.8,-5.3,0746,10.4,1248,,,,,,,6.8,340,1306,4.7,340,1313,1.2,1002,290,-2.8,47,1257,78.5,5.0,1024.1,1027.6,0002,1024.1,1439,1025.7,10.0,6.7,,,,,,,,,,,0.9,-9.1,,,,,,,,,,,,,,
261,해남,2013-01-13,-1.0,-4.4,2356,3.6,1512,,,,,,,3.9,290,1539,2.8,270,1521,0.8,669,70,-2.0,74,1522,93.1,5.3,1020.2,1025.4,0001,1019.1,1459,1021.9,10.1,0.0,,,,,,,,,,,1.1,-8.2,,,,,,,,,,,,,,
261,해남,2013-01-14,0.9,-6.0,0317,6.6,1414,,,,,,,9.1,320,1428,4.8,320,0833,2.3,1954,290,-4.3,37,1211,69.8,4.5,1019.3,1025.1,2359,1018.1,0545,1020.9,10.1,6.5,,,,,,,,,,,1.1,-10.4,,,,,,,,,,,,,,
261,해남,2013-01-15,-1.0,-7.5,0712,7.9,1417,,,,,,,5.2,320,1603,3.3,320,1612,1.0,870,250,-6.5,31,1303,69.8,3.8,1023.0,1027.2,0923,1023.0,1459,1024.7,10.1,8.5,,,,,,,,,,,1.3,-11.3,,,,,,,,,,,,,,
261,해남,2013-01-16,0.5,-5.9,0657,5.9,1312,,,,,,,10.0,320,1747,4.6,290,1524,1.7,1481,290,-3.4,57,1521,75.9,4.8,1023.0,1026.3,2356,1022.4,1333,1024.7,10.1,0.0,,,,,,,,,,,1.3,-9.2,,,,,,,,,,,,,,
261,해남,2013-01-17,-0.3,-2.3,2242,2.0,1449,,,,,,,11.0,340,0606,5.0,70,1434,2.7,2300,320,-6.8,50,1445,61.6,3.7,1027.2,1031.7,2351,1026.1,0002,1028.9,10.1,1.5,,,,,,,,,,,2.0,-5.9,,,,,,,,,,,,,,
261,해남,2013-01-18,-1.2,-6.2,0640,4.5,1408,,,,,,,8.5,340,0934,4.6,320,1450,1.9,1681,320,-6.2,50,1410,69.6,3.9,1029.1,1032.6,0956,1029.2,1455,1030.8,10.2,8.7,,,,,,,,,,,0.9,-10.8,,,,,,,,,,,,,,
261,해남,2013-01-19,1.9,-4.4,0001,7.8,1404,,,,,,,6.8,340,1523,3.8,320,1525,1.4,1201,290,-4.0,44,1407,66.5,4.6,1028.3,1031.7,2309,1028.1,1411,1029.9,10.2,2.7,,,,,,,,,,,2.4,-7.4,,,,,,,,,,,,,,
261,해남,2013-01-20,3.6,-5.4,0435,9.9,1306,,,,,,0.3,7.4,140,2051,5.6,140,1219,2.4,2066,90,-0.6,51,1311,76.3,6.0,1027.6,1032.4,1023,1026.5,2346,1029.2,10.2,4.4,,,,,,,,,,,3.2,-8.9,,,,,,,,,,,,,,
261,해남,2013-01-21,7.8,5.6,2354,9.0,0941,,,,,,12.0,9.3,110,0904,6.5,110,0856,3.5,3046,110,6.5,74,0001,92.3,9.7,1017.8,1026.5,0001,1016.7,1741,1019.4,10.2,0.0,,,,,,,,,,,6.8,4.9,,,,,,,,,,,,,,
